pub_date	title	venue	excerpt	citation	url_slug	paper_url
2012/01/12	Taking transgenic rice drought screening to the field	Journal of Experimental Botany	Numerous transgenes have been reported to increase rice drought resistance, mostly in small-scale experiments under vegetative-stage drought stress, but few studies have included grain yield or field evaluations. Different definitions of drought resistance are currently in use for field-based and laboratory evaluations of transgenics, the former emphasizing plant responses that may not be linked to yield under drought. Although those fundamental studies use efficient protocols to uncover and validate gene functions, screening conditions differ greatly from field drought environments where the onset of drought stress symptoms is slow (2-3 weeks). Simplified screening methods, including severely stressed survival studies, are therefore not likely to identify transgenic events with better yield performance under drought in the target environment. As biosafety regulations are becoming established to allow field trials in some rice-producing countries, there is a need to develop relevant screening procedures that scale from preliminary event selection to greenhouse and field trials. Multilocation testing in a range of drought environments may reveal that different transgenes are necessary for different types of drought-prone field conditions. We describe here a pipeline to improve the selection efficiency and reproducibility of results across drought treatments and test the potential of transgenic rice for the development of drought-resistant material for agricultural purposes.	Taking transgenic rice drought screening to the field. A C M Gaudin, A Henry, A H Sparks, I H Slamet-Loedin. <i>Journal of Experimental Botany</i> 63.1 (2013) pp. 109–117. DOI: 10.1093/jxb/ers313	gaudin_et_al_2012	ers313.pdf
2009/11/01	Beyond yield: plant disease in the context of ecosystem services.	Phytopathology	The ecosystem services concept provides a means to define successful disease management more broadly, beyond short-term crop yield evaluations. Plant disease can affect ecosystem services directly, such as through removal of plants providing services, or indirectly through the effects of disease management activities, including pesticide applications, tillage, and other methods of plant removal. Increased plant biodiversity may reduce disease risk if susceptible host tissue becomes less common, or may increase risk if additional plant species are important in completing pathogen life cycles. Arthropod and microbial biodiversity may play similar roles. Distant ecosystems may provide a disservice as the setting for the evolution of pathogens that later invade a focal ecosystem, where plants have not evolved defenses. Conversely, distant ecosystems may provide a service as sources of genetic resources of great value to agriculture, including disease resistance genes. Good policies are needed to support conservation and optimal use of genetic resources, protect ecosystems from exotic pathogens, and limit the homogeneity of agricultural systems. Research is needed to provide policy makers, farmers, and consumers with the information required for evaluating trade-offs in the pursuit of the full range of ecosystem services desired from managed and native ecosystems.	Beyond yield: plant disease in the context of ecosystem services. M R Cheatham, M N Rouse, P D Esker, S Ignacio, W Pradel, R Raymundo, A H Sparks, G A Forbes, T R Gordon, K A Garrett. <i>Phytopathology</i> 99.11 (2009) pp. 1228–36. DOI: 10.1094/PHYTO-99-11-1228	cheatham_et_al_2009	PHYTO-99-11-1228.pdf
2011/10/01	International agricultural research tackling the effects of global and climate changes on plant diseases in the developing world	Plant Disease	The impacts of climate change on ecosystem services are complex in the sense that effective prediction requires consideration of a wide range of factors. Useful analysis of climate-change impacts on crops and native plant systems will often require consideration of the wide array of other biota that interact with plants, including plant diseases, animal herbivores, and weeds. We present a framework for analysis of complexity in climate-change effects mediated by plant disease. This framework can support evaluation of the level of model complexity likely to be required for analysing climate-change impacts mediated by disease. Our analysis incorporates consideration of the following set of questions for a particular host, pathogen, host–pathogen combination, or geographic region. 1. Are multiple biological interactions important? 2. Are there environmental thresholds for population responses? 3. Are there indirect effects of global change factors on disease development? 4. Are spatial components of epidemic processes affected by climate? 5. Are there feedback loops for management? 6. Are networks for intervention technologies slower than epidemic networks? 7. Are there effects of plant disease on multiple ecosystem services? 8. Are there feedback loops from plant disease to climate change? Evaluation of these questions will help in gauging system complexity, as illustrated for fusarium head blight and potato late blight. In practice, it may be necessary to expand models to include more components, identify those components that are the most important, and synthesize such models to include the optimal level of complexity for planning and research prioritization.	International agricultural research tackling the effects of global and climate changes on plant diseases in the developing world. S Savary, A Nelson, A H Sparks, L Willocquet, E Duveiller, G Mahuku, G Forbes, K A Garrett, D Hodson, J Padgham, S Pande, M Sharma, J Yuen, A Djurle. <i>Plant Disease</i> 95.10 (2011) pp. 1204–1216. Scientific Societies. DOI: 10.1094/PDIS-04-11-0316	savary_et_al_2011	PDIS-04-11-0316.pdf
2011/01/10	Complexity in climate-change impacts: an analytical framework for effects mediated by plant disease	Plant Pathology	The impacts of climate change on ecosystem services are complex in the sense that effective prediction requires consideration of a wide range of factors. Useful analysis of climate-change impacts on crops and native plant systems will often require consideration of the wide array of other biota that interact with plants, including plant diseases, animal herbivores, and weeds. We present a framework for analysis of complexity in climate-change effects mediated by plant disease. This framework can support evaluation of the level of model complexity likely to be required for analysing climate-change impacts mediated by disease. Our analysis incorporates consideration of the following set of questions for a particular host, pathogen, host–pathogen combination, or geographic region. 1. Are multiple biological interactions important? 2. Are there environmental thresholds for population responses? 3. Are there indirect effects of global change factors on disease development? 4. Are spatial components of epidemic processes affected by climate? 5. Are there feedback loops for management? 6. Are networks for intervention technologies slower than epidemic networks? 7. Are there effects of plant disease on multiple ecosystem services? 8. Are there feedback loops from plant disease to climate change? Evaluation of these questions will help in gauging system complexity, as illustrated for fusarium head blight and potato late blight. In practice, it may be necessary to expand models to include more components, identify those components that are the most important, and synthesize such models to include the optimal level of complexity for planning and research prioritization.	Complexity in climate-change impacts: an analytical framework for effects mediated by plant disease. K A Garrett, G A Forbes, S Savary, P Skelsey, A H Sparks, C Valdivia, A H C van Bruggen, L Willocquet, A Djurle, E Duveiller, H Eckersten, S Pande, C Vera Cruz, J Yuen. <i>Plant Pathology</i> 60.1 (2011) pp. 15–30. DOI: 10.1111/j.1365-3059.2010.02409.x	garrett_et_al_2011	Garrett_et_al-2011-Plant_Pathology.pdf
2015/08/28	Farmers' preference for rice traits: Insights from farm surveys in Central Luzon, Philippines, 1966--2012	PLOS ONE	Many modern rice varieties (MVs) have been released but only a few have been widely adopted by farmers. To understand farmers’ preferences, we characterized MVs released in the Philippines from 1966 to 2013 and identified important characteristics of the varieties that were widely adopted in Central Luzon using farm surveys conducted in 1966–2012. We found that farmers adopt MVs that are high yielding, mature faster, and have long and slender grains, high milling recovery, and intermediate amylose content. The amylose content of adopted varieties has been declining, suggesting value in developing softer rice. To have a high potential for adoption, new MVs should have characteristics within the ranges of values observed for the adopted MVs. In addition, new MVs should have higher head rice recovery, less chalky grains, and better resistance to pests and diseases. Most MVs released in 2005–2013 compared poorly in these three traits. To reduce the risk of severe outbreaks, broad spectrum resistance should be incorporated into new MVs. This analysis of five decades of farm surveys provides insights into the varietal characteristics preferred by farmers which could contribute to the establishment of a product profile for developing improved MVs that are more targeted and, hence, would have high potential for adoption by farmers in Central Luzon and similar areas. We recommend a similar analysis be done in other major rice growing regions to aid the development of MVs that are more responsive to farmers’ needs and preferences.	Farmers’ preference for rice traits: Insights from farm surveys in Central Luzon, Philippines, 1966–2012. A G Laborte, N C Paguirigan, P F Moya, A Nelson, A H Sparks, G B Gregorio. <i>PLOS ONE</i> e0136562 (July 2015). DOI:10.1371/journal.pone.0136562	laborte_et_al_2015	journal.pone.0136562.PDF
2017/02/28	GSODR: Global Summary Daily Weather Data in R	The Journal of Open Source Software	The GSODR package (Sparks, Hengl, and Nelson 2017) is an R package (R Core Team 2016) providing automated downloading, parsing and cleaning of Global Surface Summary of the Day (GSOD) (United States National Oceanic and Atmospheric Administration National Climatic Data Center 2016) weather data for use in R or saving as local files in either a Comma Separated Values (CSV) or GeoPackage (GPKG) (Open Geospatial Consortium 2014) file. It builds on or complements several other scripts and packages. We take advantage of modern techniques in R to make more efficient use of available computing resources to complete the process, e.g., data.table (Dowle et al. 2015), plyr (Wickham 2011) and readr (Wickham, Hester, and Francois 2016), which allow the data cleaning, conversions and disk input/output processes to function quickly and efficiently. The rnoaa (Chamberlain 2016) package already offers an excellent suite of tools for interacting with and downloading weather data from the United States National Oceanic and Atmospheric Administration, but lacks options for GSOD data retrieval. Several other APIs and R packages exist to access weather data, but most are region or continent specific, whereas GSOD is global. This package was developed to provide: two functions that simplify downloading GSOD data and formatting it to easily be used in research; and a function to help identify stations within a given radius of a point of interest.	GSODR: Global Summary Daily Weather Data in R. Adam H Sparks, Tomislav Hengl, Andrew Nelson. <i>The Journal of Open Source Software</i> 2.10 (Feb. 2017). The Open Journal. DOI: 10.21105/ joss.00177	sparks_et_al_2017	10.21105.joss.00177.pdf
2017/03/31	getCRUCLdata: Use and Explore CRU CL v. 2.0 Climatology Elements in R	The Journal of Open Source Software	The CRU CL v. 2.0 data are a gridded climatology of 1961-1990 monthly means released in 2002 and cover all land areas (excluding Antarctica) at 10 arcminutes (0.1666667 degree) resolution (New et al. 2002) providing precipitation, cv of precipitation, wet-days, mean temperature, mean diurnal temperature range, relative humidity, sunshine, ground-frost, windspeed and elevation. While these data have a high resolution and are freely available, the data format can be cumbersome for working with. Four functions are provided by getCRUCLdata that automate importing these data into R (R Core Team 2016). All of the functions facilitate the calculation of minimum temperature and maximum temperature, and format the data into a tidy data frame (Wickham 2014) in a tibble (Wickham, Francois, and Müller 2017) object or a list of raster stack objects (Hijmans 2016) for use in R or easily exported to a raster format file for use in a geographic information system (GIS). Two functions, get_CRU_df() and get_CRU_stack() provide the ability to easily download CRU CL v. 2.0 data from the CRU website and import the data into R and allow for caching downloaded data. The other two functions, create_CRU_df() and create_CRU_stack() allow the user to easily import the data files from a local disk location and transform them into a tidy data frame tibble or raster stack. The data have applications in applied climatology, biogeochemical modelling, hydrology and agricultural meteorology (New et al. 2002).	getCRUCLdata: Use and Explore CRU CL v. 2.0 Climatology Elements in R. Adam H Sparks. <i>The Journal of Open Source Software</i> 2.12 (Apr. 2017). The Open Journal. DOI: 10.21105/ joss.00230	sparks_2017	10.21105.joss.00230.pdf
2012/12/31	An economic assessment of the impact of mango pulp weevil on the agricultural sector of Palawan, Philippines	The Philippine Agricultural Scientist		An economic assessment of the impact of mango pulp weevil on the agricultural sector of Palawan, Philippines. J D Mckinley, A H Sparks, V O Pede, B Duff. <i>The Philippine Agricultural Scientist</i> 95.3 (2012) pp. 286–292	mckinley_et_al_2012	
2007/12/31	Ecology and epidemiology in R: modeling dispersal gradients	The Plant Health Instructor		Ecology and epidemiology in R: modeling dispersal gradients. P D Esker, A H Sparks, G Antony, M Bates, W Dall’Acqua, E E Frank, L Huebel, V Segovia, K A Garrett. <i>The Plant Health Instructor</i> (2007). DOI: 10.1094/PHI-A-2007-1226-03	esker_et_al_2007a	http://dx.doi.org/10.1094/PHI-A-2007-1226-03
2008/12/31	Ecology and epidemiology in R: disease forecasting	The Plant Health Instructor		Ecology and epidemiology in R: disease forecasting. P D Esker, A H Sparks, L Campbell, Z Guo, M Rouse, S D Silwal, S Tolos, B Van Allen, K A Garrett. <i>The Plant Health Instructor</i> (2008). DOI: 10.1094/PHI-A-2008-0129-01	esker_et_al_2007b	http://dx.doi.org/10.1094/PHI-A-2008-0129-01
2007/12/31	Writing teaching documents as a class project	The Plant Health Instructor		Writing teaching documents as a class project. K A Garrett, P D Esker, A H Sparks, L C Scharmann. <i>The Plant Health Instructor</i> (2007). DOI: 10.1094/PHI-T-2007-1226-01	garrett_et_al_2007	http://dx.doi.org/10.1094/PHI-T-2007-1226-01
2007/12/31	Introduction to the R programming environment	The Plant Health Instructor		Introduction to the R programming environment. K A Garrett, P D Esker, A H Sparks. <i>The Plant Health Instructor</i> (2007). DOI: 10.1094/PHI-A-2007-1226-02	garrett_et_al_2007	http://dx.doi.org/10.1094/PHI-A-2007-1226-02
2008/12/31	Ecology and epidemiology in R: spatial analysis	The Plant Health Instructor		Ecology and epidemiology in R: spatial analysis. A H Sparks, P D Esker, G Antony, L Campbell, E E Frank, L Huebel, M N Rouse, B Van Allen, K A Garrett. <i>The Plant Health Instructor</i> (2008). DOI: 10.1094/PHI-A-2008-0129-03	sparks_et_al_2008a	http://dx.doi.org/10.1094/PHI-A-2008-0129-03
2008/12/31	Ecology and epidemiology in R: modeling plant disease progress over time	The Plant Health Instructor		Ecology and epidemiology in R: modeling plant disease progress over time. A H Sparks, P D Esker, M Bates, W Dall’Acqua, Z Guo, V Segovia, S D Silwal, S Tolos, K A Garrett. <i>The Plant Health Instructor</i> (2008). DOI: 10.1094/PHI-A-2008-0129-02	sparks_et_al_2008b	http://dx.doi.org/10.1094/PHI-A-2008-0129-02
